timestamp,scope,marketId,activeDebtLoanCount,distinctActiveDebtObservedKeyCount
2026-07-20T22:22:27.595Z,market,BTC,15,12
2026-07-20T22:22:27.595Z,market,COPI,2,2
2026-07-20T22:22:27.595Z,market,DAI,2,2
2026-07-20T22:22:27.595Z,market,DJED,90,80
2026-07-20T22:22:27.595Z,market,ERG,4,4
2026-07-20T22:22:27.595Z,market,ETH,6,6
2026-07-20T22:22:27.595Z,market,IAG,7,7
2026-07-20T22:22:27.595Z,market,IUSD,57,46
2026-07-20T22:22:27.595Z,market,MIN,38,34
2026-07-20T22:22:27.595Z,market,NIGHT,13,12
2026-07-20T22:22:27.595Z,market,SHEN,9,8
2026-07-20T22:22:27.595Z,market,SNEK,12,12
2026-07-20T22:22:27.595Z,market,USDA,56,43
2026-07-20T22:22:27.595Z,market,USDC,32,23
2026-07-20T22:22:27.595Z,market,USDCx,99,76
2026-07-20T22:22:27.595Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,19,14
2026-07-20T22:22:27.595Z,market,USDM,45,37
2026-07-20T22:22:27.595Z,market,USDT,24,15
2026-07-20T22:22:27.595Z,market,WMT,0,0
2026-07-20T22:22:27.595Z,protocol,,617,437
2026-07-20T22:32:10.980Z,market,Ada,87,61
2026-07-20T22:32:10.980Z,market,BTC,15,12
2026-07-20T22:32:10.980Z,market,COPI,2,2
2026-07-20T22:32:10.980Z,market,DAI,2,2
2026-07-20T22:32:10.980Z,market,DJED,90,80
2026-07-20T22:32:10.980Z,market,ERG,4,4
2026-07-20T22:32:10.980Z,market,ETH,6,6
2026-07-20T22:32:10.980Z,market,IAG,7,7
2026-07-20T22:32:10.980Z,market,IUSD,58,47
2026-07-20T22:32:10.980Z,market,MIN,38,34
2026-07-20T22:32:10.980Z,market,NIGHT,13,12
2026-07-20T22:32:10.980Z,market,SHEN,9,8
2026-07-20T22:32:10.980Z,market,SNEK,12,12
2026-07-20T22:32:10.980Z,market,USDA,56,43
2026-07-20T22:32:10.980Z,market,USDC,32,23
2026-07-20T22:32:10.980Z,market,USDCx,98,75
2026-07-20T22:32:10.980Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,19,14
2026-07-20T22:32:10.980Z,market,USDM,45,37
2026-07-20T22:32:10.980Z,market,USDT,24,15
2026-07-20T22:32:10.980Z,market,WMT,0,0
2026-07-20T22:32:10.980Z,protocol,,617,437
2026-07-20T22:46:05.020Z,market,Ada,86,60
2026-07-20T22:46:05.020Z,market,BTC,15,12
2026-07-20T22:46:05.020Z,market,COPI,2,2
2026-07-20T22:46:05.020Z,market,DAI,2,2
2026-07-20T22:46:05.020Z,market,DJED,90,80
2026-07-20T22:46:05.020Z,market,ERG,4,4
2026-07-20T22:46:05.020Z,market,ETH,6,6
