timestamp,scope,marketId,activeDebtLoanCount,activeDebtInUsd,hf_le_100LoanCount,hf_le_100DebtInUsd,hf_100_110LoanCount,hf_100_110DebtInUsd,hf_110_125LoanCount,hf_110_125DebtInUsd,hf_125_150LoanCount,hf_125_150DebtInUsd,hf_150_200LoanCount,hf_150_200DebtInUsd,hf_gt_200LoanCount,hf_gt_200DebtInUsd,badDebtLoanCount,badDebtInUsd,badDebtShortfallInUsd
2026-07-17T16:11:28.090Z,market,DJED,87,924503.7232646177,0,0,4,68881.69943752316,35,138608.1937013694,16,589286.9132495006,10,49835.008774045884,22,77891.90810217899,0,0,0
2026-07-17T16:11:28.090Z,market,ERG,4,2222.528450925852,0,0,0,0,0,0,0,0,2,2202.522973259113,2,20.00547766673946,0,0,0
2026-07-17T16:11:28.090Z,market,ETH,7,2842.011453996,0,0,1,18.156055302,0,0,4,2379.7687626899997,0,0,2,444.086636004,0,0,0
2026-07-17T16:11:28.090Z,market,IAG,6,4292.9656703716,0,0,0,0,0,0,1,118.662031767808,1,3221.53968179096,4,952.7639568128319,0,0,0
2026-07-17T16:11:28.090Z,market,IUSD,48,116894.961634,0,0,6,11438.048803999998,18,1502.1630680000003,9,83577.397665,5,14724.993851999998,10,5652.358245,0,0,0
2026-07-17T16:11:28.090Z,market,MIN,38,17497.764163854656,0,0,0,0,0,0,3,428.56470681455596,5,1530.158664305392,30,15539.040792734708,0,0,0
2026-07-17T16:11:28.090Z,market,NIGHT,11,17811.861831282964,0,0,0,0,0,0,1,14.1067764,3,218.67306169610703,7,17579.081993186857,0,0,0
2026-07-17T16:11:28.090Z,market,SHEN,9,2291.25740211478,0,0,0,0,0,0,1,717.851276474761,1,276.6731616,7,1296.732964040019,0,0,0
2026-07-17T16:11:28.090Z,market,SNEK,11,16306.560599249999,0,0,0,0,0,0,0,0,0,0,11,16306.560599249999,0,0,0
2026-07-17T16:11:28.090Z,market,USDA,57,626665.0104329998,0,0,0,0,22,149998.534565,21,428954.619861,3,32188.49715,11,15523.358857000001,0,0,0
2026-07-17T16:11:28.090Z,market,USDC,17,428773.52885897,0,0,2,4077.1559850900003,5,5143.149665989999,6,405577.32992419,3,13974.41740576,1,1.47587794,1,34.08967394,0.9237161508633562
2026-07-17T16:11:28.090Z,market,USDCx,92,734205.1226020003,0,0,2,46104.784367,13,151219.850732,18,157239.37641700002,29,203362.27890099995,30,176278.832185,0,0,0
2026-07-17T16:11:28.090Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,12,78042.9344262995,0,0,0,0,4,59357.5442666535,3,3319.538148157,1,1505.0744126355,4,13860.7775988535,0,0,0
2026-07-17T16:11:28.090Z,market,USDM,44,158281.544565,0,0,3,15188.660217,8,392.49410100000006,7,114583.971671,13,24401.441072999995,13,3714.977503,0,0,0
2026-07-17T16:11:28.090Z,market,USDT,19,353336.69414888,0,0,0,0,7,36100.741206479994,5,2074.95213452,5,314653.66828508,2,507.3325228,0,0,0
2026-07-17T16:11:28.090Z,protocol,,557,4101392.86804638,0,0,23,145933.57135986915,124,543165.3696347254,118,1812557.0448890391,104,1229229.2243859041,188,370507.657776841,1,34.08967394,0.9237161508633562
2026-07-17T16:19:39.734Z,market,Ada,81,586656.3215104153,0,0,5,225.06649395399,10,670.8246637125301,18,6796.393741963921,18,559546.1852134913,30,19417.851397293474,0,0,0
2026-07-17T16:19:39.734Z,market,BTC,13,30756.7392244,0,0,0,0,1,160.53585752,5,17487.59852256,5,7588.09177624,2,5520.51306808,0,0,0
2026-07-17T16:19:39.734Z,market,DAI,1,11.337807,0,0,0,0,1,11.337807,0,0,0,0,0,0,0,0,0
2026-07-17T16:19:39.734Z,market,DJED,87,924503.7232646177,0,0,4,68881.69943752316,35,138608.1937013694,16,589286.9132495006,10,49835.008774045884,22,77891.90810217899,0,0,0
2026-07-17T16:19:39.734Z,market,ERG,4,2222.528450925852,0,0,0,0,0,0,0,0,2,2202.522973259113,2,20.00547766673946,0,0,0
2026-07-17T16:19:39.734Z,market,ETH,7,2842.011453996,0,0,1,18.156055302,0,0,4,2379.7687626899997,0,0,2,444.086636004,0,0,0
2026-07-17T16:19:39.734Z,market,IAG,6,4292.9656703716,0,0,0,0,0,0,1,118.662031767808,1,3221.53968179096,4,952.7639568128319,0,0,0
